Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
logout testsuite,Chrome 120.0.0.0,,,16-01-2024 17:13:22,16-01-2024 17:13:38,15.691s,PASSED
,,,,,,,
Test Cases/logout testcase/logout TC-01,Chrome 120.0.0.0,,,16-01-2024 17:13:22,16-01-2024 17:13:38,15.538s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 17:13:22,16-01-2024 17:13:24,1.465s,PASSED
"navigateToUrl(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 120.0.0.0,,,16-01-2024 17:13:24,16-01-2024 17:13:28,4.506s,PASSED
"setText(findTestObject(""Object Repository/logout testcase/Page_CaringConnections-v-1.17/input_username""), ""harshjo2344@gmail.com"")",Chrome 120.0.0.0,,,16-01-2024 17:13:28,16-01-2024 17:13:30,1.504s,PASSED
"setEncryptedText(findTestObject(""Object Repository/logout testcase/Page_CaringConnections-v-1.17/input_password""), ""QmrIyMB454Sq0s0w1zzgnQ=="")",Chrome 120.0.0.0,,,16-01-2024 17:13:30,16-01-2024 17:13:30,0.455s,PASSED
"click(findTestObject(""Object Repository/logout testcase/Page_CaringConnections-v-1.17/button_Sign In""))",Chrome 120.0.0.0,,,16-01-2024 17:13:30,16-01-2024 17:13:33,2.655s,PASSED
"verifyElementPresent(findTestObject(""logout testcase/Page_CaringConnections-v-1.17/img""), 0)",Chrome 120.0.0.0,,,16-01-2024 17:13:33,16-01-2024 17:13:37,3.655s,PASSED
"click(findTestObject(""Object Repository/logout testcase/Page_CaringConnections-v-1.17/img""))",Chrome 120.0.0.0,,,16-01-2024 17:13:37,16-01-2024 17:13:37,0.709s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 17:13:37,16-01-2024 17:13:38,0.381s,PASSED
